Product ID,Combination,Dry,Normal,Oily,Sensitive
152,1,0,0,1,0
153,1,1,1,1,1
154,1,0,1,0,0
155,1,1,1,1,1
156,1,1,1,1,0
157,1,1,1,1,1
158,1,1,1,1,1
159,1,0,1,1,0
160,1,1,1,1,0
161,0,1,1,0,0
162,1,1,1,0,1
163,1,1,1,1,1
164,1,0,0,1,0
165,0,0,0,0,0
166,1,1,1,1,1
167,0,0,0,0,0
168,1,1,1,1,1
169,0,0,0,0,0
170,1,1,1,1,1
171,1,1,1,1,1
172,1,0,1,1,0
173,0,0,0,0,0
174,0,0,0,0,0
175,0,0,0,0,0
176,1,1,1,1,0
177,1,1,1,1,1
178,0,0,0,0,0
179,1,1,1,1,1
180,0,0,0,0,0
181,1,1,1,1,1
182,1,1,1,1,1
183,1,1,1,1,1
184,0,0,0,0,0
185,0,0,0,0,0
186,1,0,1,1,0
187,1,1,1,1,1
188,0,0,0,0,0
189,1,1,1,1,0
190,1,1,1,1,1
191,1,1,1,0,1
192,1,1,1,1,0
193,0,1,1,0,1
194,1,1,1,1,1
195,1,0,0,1,0
196,1,1,1,1,1
197,0,0,0,0,0
198,0,0,0,0,0
199,0,0,0,0,0
200,1,1,0,1,1
201,1,1,1,1,1
202,0,0,0,0,0
203,1,1,1,1,0
204,1,1,1,1,1
205,0,0,0,0,0
206,1,1,1,1,1
207,1,1,1,1,1
208,1,1,1,1,1
209,1,1,1,1,1
210,0,0,0,0,0
211,1,1,1,1,1
212,1,1,1,1,1
213,1,1,1,0,1
214,0,0,0,0,0
215,1,1,1,1,1
216,1,0,1,0,1
217,0,0,0,0,0
218,1,1,1,1,1
219,1,1,1,1,1
220,0,0,0,0,0
221,0,0,0,0,0
222,1,1,1,1,1
223,1,1,1,0,1
224,1,1,1,0,0
225,1,1,1,1,1
226,0,0,0,0,0
227,1,1,1,1,1
228,1,1,1,1,1
229,0,0,0,0,0
230,1,1,1,1,0
231,1,1,1,1,1
232,1,1,1,1,1
233,0,0,0,0,0
234,1,1,1,1,1
